수도권 여부,상세 지역,생활치료센터 보유,생활치료센터 가용,감염병 전담병원 보유,감염병 전담병원 가용,준-중환자병상 보유,준-중환자병상 가용,중환자병상 보유,중환자병상 가용
전국,전국,17951 ,9023 ,10056 ,4340 ,455 ,190 ,1111 ,571 
수도권,수도권,12031 ,4676 ,4655 ,1213 ,276 ,80 ,687 ,270 
수도권,중수본,2955 ,1096 ,-,-,-,-,-,-
수도권,서울,5632 ,2497 ,2160 ,591 ,81 ,41 ,345 ,148 
수도권,경기,2302 ,683 ,1867 ,357 ,172 ,39 ,263 ,94 
수도권,인천,1142 ,400 ,628 ,265 ,23 ,-,79 ,28 
비수도권,비수도권,5920 ,4347 ,5401 ,3127 ,179 ,110 ,424 ,301 
비수도권,중수본,844 ,613 ,-,-,-,-,-,-
비수도권,강원,381 ,284 ,388 ,291 ,5 ,4 ,36 ,26 
비수도권,충청권,1102 ,881 ,1378 ,731 ,49 ,37 ,101 ,74 
비수도권,호남권,700 ,484 ,949 ,608 ,10 ,6 ,67 ,53 
비수도권,경북권,1206 ,754 ,1141 ,625 ,28 ,22 ,83 ,50 
비수도권,경남권,1527 ,1197 ,1271 ,631 ,82 ,37 ,125 ,87 
비수도권,제주,160 ,134 ,274 ,241 ,5 ,4 ,12 ,11 
