시도,요양기관종별,간호사계,간호사,가정전문간호사,보건전문간호사,마취전문간호사,정신전문간호사,간호조무사,임상병리사,방사선사,치과기공사,치과위생사,보건의료정보관리사,동위원소취급자(일반),동위원소취급자(특수),방사선취급감독자,영양사,조리사,조혈모세포이식담당자,안경사,기타종사자,정신건강전문요원계
서울,계,"54,600","54,280",177,13,47,83,"38,203","6,572","7,045",688,"10,634","1,106",277,69,58,"1,045","1,077",44,682,"26,142",293
서울,상급종합병원,"23,717","23,592",101,1,0,23,839,"2,391","2,078",30,143,348,144,27,17,223,47,41,36,"9,336",120
서울,종합병원,"14,813","14,760",40,1,3,9,"1,895","1,486","1,306",20,181,304,51,28,10,165,104,3,27,"5,793",46
서울,병원,"6,164","6,082",2,1,41,38,"3,212",570,864,9,65,159,38,2,10,278,382,0,65,"2,778",71
서울,요양병원,"3,016","3,014",2,0,0,0,"1,624",31,122,0,7,146,0,0,4,242,288,0,0,699,4
서울,의원,"5,061","5,010",32,10,3,6,"21,165","1,923","2,466",0,7,113,31,8,15,66,164,0,554,"6,431",49
서울,치과병원,45,45,-,-,-,-,91,6,28,99,836,4,-,-,0,3,2,-,-,224,-
서울,치과의원,135,131,-,0,0,4,"4,197",2,7,530,"9,388",9,1,0,2,0,0,0,0,319,0
서울,조산원,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,649,649,-,-,-,-,-,146,96,-,3,-,-,4,-,2,-,-,-,-,-
서울,보건지소,13,13,-,-,-,-,-,1,-,-,3,-,-,-,-,3,-,-,-,1,-
서울,약국,-,-,-,-,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,4,-
서울,한방병원,685,685,0,-,-,-,415,15,77,-,0,17,12,-,-,60,75,-,-,349,3
서울,한의원,302,299,0,0,0,3,"4,763",1,1,0,1,6,0,0,0,3,15,0,0,208,0
부산,계,"18,823","18,722",16,12,40,33,"18,311","1,945","2,130",304,"2,630",531,92,25,17,715,993,7,213,"7,515",157
부산,상급종합병원,"4,635","4,624",6,1,0,4,259,416,375,3,42,67,23,10,3,24,22,6,5,"1,861",16
부산,종합병원,"6,495","6,479",3,2,5,6,"1,374",611,500,3,85,108,62,13,5,83,89,1,9,"2,475",33
부산,병원,"3,514","3,474",0,0,28,12,"2,810",352,437,1,15,91,2,0,2,211,295,0,62,"1,589",13
부산,요양병원,"3,082","3,075",4,0,-,3,"4,799",63,150,-,1,203,-,-,4,357,481,-,-,597,85
부산,의원,657,644,3,0,5,5,"5,737",448,612,2,0,32,5,2,2,23,85,0,137,651,10
부산,치과병원,4,3,-,-,1,-,43,0,4,59,378,3,-,-,-,-,0,-,-,125,-
부산,치과의원,30,29,-,-,1,-,"1,532",1,5,236,"2,100",19,-,-,-,-,-,-,-,136,-
부산,보건소,178,166,-,9,-,3,8,46,30,0,7,0,-,-,1,1,-,-,-,-,-
부산,보건지소,20,20,-,-,-,-,6,3,2,-,2,-,-,-,-,-,-,-,-,-,-
부산,보건진료소,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
부산,한방병원,150,150,-,-,-,-,141,5,15,-,-,5,-,-,-,16,19,-,-,21,-
부산,한의원,53,53,-,0,0,0,"1,602",-,-,-,-,3,-,-,-,-,2,-,-,60,-
인천,계,"12,092","11,998",70,0,21,3,"11,780","1,282","1,434",82,"1,846",277,25,10,6,353,512,2,161,"4,980",95
인천,상급종합병원,"4,199","4,179",7,-,13,0,281,322,284,7,34,68,17,7,1,26,6,2,10,569,15
인천,종합병원,"3,752","3,738",8,0,4,2,"1,101",380,314,1,50,64,4,2,1,51,65,0,64,"2,269",19
인천,병원,"1,799","1,793",2,0,4,0,"1,312",150,207,0,8,40,0,0,0,96,136,0,44,734,48
인천,요양병원,"1,372","1,352",20,0,0,0,"1,437",15,70,0,0,77,0,0,0,132,174,0,0,482,7
인천,의원,625,592,33,0,0,0,"4,716",387,507,0,4,14,4,1,2,13,70,0,43,580,6
인천,치과병원,1,1,0,-,-,-,13,-,1,5,139,-,-,-,1,1,1,-,-,51,-
인천,치과의원,22,22,-,-,-,-,"1,578",1,5,69,"1,594",5,-,-,1,-,-,-,-,124,-
인천,보건소,79,78,-,-,-,1,18,23,16,-,6,0,-,-,-,1,-,-,-,-,-
인천,보건지소,24,24,-,-,-,-,27,2,0,-,11,-,-,-,-,-,-,-,-,-,-
인천,보건진료소,25,25,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
인천,한방병원,142,142,-,-,-,-,248,2,30,-,-,5,-,-,-,33,55,-,0,131,0
인천,한의원,52,52,-,0,0,0,"1,048",-,-,-,-,4,-,-,-,-,5,-,-,40,-
대구,계,"12,686","12,649",20,1,1,15,"10,095","1,527","1,626",193,"2,340",251,77,17,11,377,622,26,48,"6,082",125
대구,상급종합병원,"4,615","4,606",9,0,0,0,600,476,389,6,21,50,42,13,4,34,62,24,1,"3,084",33
대구,종합병원,"2,128","2,122",5,1,-,0,508,171,165,1,30,35,29,2,1,33,39,2,3,802,7
대구,병원,"3,491","3,481",0,0,1,9,"1,611",255,358,0,7,69,2,2,3,157,263,-,14,"1,206",71
대구,요양병원,"1,308","1,303",3,0,0,2,"1,389",41,67,0,0,68,0,0,1,133,192,0,0,442,6
대구,의원,927,924,3,0,0,-,"4,090",558,623,-,1,18,4,-,2,13,60,-,30,334,7
대구,치과병원,5,5,-,-,-,-,10,-,5,17,346,1,-,-,-,-,-,-,-,88,-
대구,치과의원,8,8,-,-,-,-,605,1,-,169,"1,919",3,-,-,-,-,-,-,-,57,-
대구,보건소,101,98,-,-,-,3,10,23,14,-,13,-,-,-,-,3,-,-,-,-,-
대구,보건지소,7,7,-,-,-,-,19,-,-,-,2,-,-,-,-,1,-,-,-,-,-
대구,보건진료소,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대구,약국,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-
대구,한방병원,62,62,-,-,-,-,38,1,5,-,1,3,-,-,-,3,6,-,-,9,-
대구,한의원,26,25,-,0,0,1,"1,215",1,0,0,0,4,0,0,0,0,0,0,0,58,1
광주,계,"9,156","9,111",11,0,1,33,"7,822",959,"1,010",135,"1,961",167,30,6,14,460,643,5,67,"3,853",85
광주,상급종합병원,"1,919","1,917",0,0,0,2,98,122,126,4,6,29,5,5,3,14,14,5,0,290,4
