일자,계(명),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,검역
누적(명),"370,640","121,843","14,074","17,307","19,796","5,405","7,588","5,447","1,373","110,427","7,270","7,993","10,807","5,269","3,616","9,788","13,220","3,121","6,296"
2020.1.20,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.1.21,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.1.22,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.1.23,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.1.24,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.1.25,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.1.26,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
2020.1.27,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
2020.1.28,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.1.29,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.1.30,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.1.31,4,3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
2020.2.1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
2020.2.2,3,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-
2020.2.3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.2.4,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.2.5,5,2,-,-,-,1,-,-,-,2,-,-,-,-,-,-,-,-,-
2020.2.6,3,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
2020.2.7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.2.8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.2.9,3,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
2020.2.10,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
2020.2.11,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.2.12,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.2.13,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020.2.14,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
